timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,packet_count,label
2026-01-13T15:02:34.922269+00:00,10.232.71.26,10.232.71.48,52436,22,0x0018,41,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922346+00:00,10.232.71.48,10.232.71.26,22,52436,0x0010,32,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922422+00:00,10.232.71.26,10.232.71.48,52446,22,0x0010,42,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922497+00:00,10.232.71.26,10.232.71.48,52446,22,0x0018,43,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922573+00:00,10.232.71.48,10.232.71.26,22,52446,0x0010,33,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922649+00:00,10.232.71.26,10.232.71.48,52452,22,0x0010,44,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922735+00:00,10.232.71.26,10.232.71.48,52452,22,0x0018,45,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922813+00:00,10.232.71.48,10.232.71.26,22,52452,0x0010,34,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922893+00:00,10.232.71.26,10.232.71.48,52350,22,0x0018,46,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922974+00:00,10.232.71.48,10.232.71.26,22,52350,0x0010,35,SSH_BRUTE_FORCE
2026-01-13T15:02:34.923055+00:00,10.232.71.26,10.232.71.48,52348,22,0x0018,47,SSH_BRUTE_FORCE
2026-01-13T15:02:34.923172+00:00,10.232.71.48,10.232.71.26,22,52348,0x0010,36,SSH_BRUTE_FORCE
2026-01-13T15:02:34.923269+00:00,10.232.71.26,10.232.71.48,52384,22,0x0018,48,SSH_BRUTE_FORCE
2026-01-13T15:02:34.923349+00:00,10.232.71.48,10.232.71.26,22,52384,0x0010,37,SSH_BRUTE_FORCE
2026-01-13T15:02:34.923426+00:00,10.232.71.26,10.232.71.48,52464,22,0x0010,49,SSH_BRUTE_FORCE
2026-01-13T15:02:34.923637+00:00,10.232.71.26,10.232.71.48,52464,22,0x0018,50,SSH_BRUTE_FORCE
2026-01-13T15:02:34.923814+00:00,10.232.71.48,10.232.71.26,22,52464,0x0010,38,SSH_BRUTE_FORCE
2026-01-13T15:02:34.923991+00:00,10.232.71.26,10.232.71.48,52466,22,0x0010,51,SSH_BRUTE_FORCE
2026-01-13T15:02:34.924194+00:00,10.232.71.26,10.232.71.48,52466,22,0x0018,52,SSH_BRUTE_FORCE
2026-01-13T15:02:34.924434+00:00,10.232.71.48,10.232.71.26,22,52466,0x0010,39,SSH_BRUTE_FORCE
2026-01-13T15:02:34.924665+00:00,10.232.71.26,10.232.71.48,52472,22,0x0010,53,SSH_BRUTE_FORCE
2026-01-13T15:02:34.924866+00:00,10.232.71.26,10.232.71.48,52472,22,0x0018,54,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925064+00:00,10.232.71.48,10.232.71.26,22,52472,0x0010,40,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925178+00:00,10.232.71.26,10.232.71.48,52478,22,0x0010,55,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925270+00:00,10.232.71.26,10.232.71.48,52478,22,0x0018,56,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925461+00:00,10.232.71.48,10.232.71.26,22,52478,0x0010,41,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925637+00:00,10.232.71.26,10.232.71.48,52490,22,0x0010,57,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925726+00:00,10.232.71.26,10.232.71.48,52490,22,0x0018,58,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925814+00:00,10.232.71.48,10.232.71.26,22,52490,0x0010,42,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925897+00:00,10.232.71.26,10.232.71.48,52492,22,0x0010,59,SSH_BRUTE_FORCE
2026-01-13T15:02:34.925975+00:00,10.232.71.26,10.232.71.48,52492,22,0x0018,60,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926054+00:00,10.232.71.48,10.232.71.26,22,52492,0x0010,43,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926153+00:00,10.232.71.26,10.232.71.48,52392,22,0x0018,61,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926266+00:00,10.232.71.48,10.232.71.26,22,52392,0x0010,44,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926356+00:00,10.232.71.48,10.232.71.26,22,52346,0x0018,45,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926443+00:00,10.232.71.26,10.232.71.48,52346,22,0x0010,62,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926526+00:00,10.232.71.26,10.232.71.48,52346,22,0x0018,63,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926606+00:00,10.232.71.48,10.232.71.26,22,52346,0x0018,46,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926687+00:00,10.232.71.26,10.232.71.48,52346,22,0x0018,64,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926770+00:00,10.232.71.48,10.232.71.26,22,52392,0x0018,47,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926854+00:00,10.232.71.48,10.232.71.26,22,52384,0x0018,48,SSH_BRUTE_FORCE
2026-01-13T15:02:34.926936+00:00,10.232.71.48,10.232.71.26,22,52350,0x0018,49,SSH_BRUTE_FORCE
2026-01-13T15:02:34.927020+00:00,10.232.71.48,10.232.71.26,22,52348,0x0018,50,SSH_BRUTE_FORCE
2026-01-13T15:02:34.927351+00:00,10.232.71.26,10.232.71.48,52392,22,0x0010,65,SSH_BRUTE_FORCE
2026-01-13T15:02:34.927586+00:00,10.232.71.48,10.232.71.26,22,52392,0x0018,51,SSH_BRUTE_FORCE
2026-01-13T15:02:34.927807+00:00,10.232.71.26,10.232.71.48,52384,22,0x0010,66,SSH_BRUTE_FORCE
2026-01-13T15:02:34.928031+00:00,10.232.71.48,10.232.71.26,22,52384,0x0018,52,SSH_BRUTE_FORCE
2026-01-13T15:02:34.928258+00:00,10.232.71.26,10.232.71.48,52350,22,0x0010,67,SSH_BRUTE_FORCE
2026-01-13T15:02:34.928479+00:00,10.232.71.48,10.232.71.26,22,52350,0x0018,53,SSH_BRUTE_FORCE
2026-01-13T15:02:34.928705+00:00,10.232.71.26,10.232.71.48,52348,22,0x0010,68,SSH_BRUTE_FORCE
2026-01-13T15:02:34.928906+00:00,10.232.71.26,10.232.71.48,52392,22,0x0010,69,SSH_BRUTE_FORCE
2026-01-13T15:02:34.929039+00:00,10.232.71.26,10.232.71.48,52384,22,0x0010,70,SSH_BRUTE_FORCE
2026-01-13T15:02:34.929140+00:00,10.232.71.26,10.232.71.48,52350,22,0x0010,71,SSH_BRUTE_FORCE
2026-01-13T15:02:34.929276+00:00,10.232.71.26,10.232.71.48,52348,22,0x0018,72,SSH_BRUTE_FORCE
2026-01-13T15:02:34.929406+00:00,10.232.71.26,10.232.71.48,52392,22,0x0018,73,SSH_BRUTE_FORCE
2026-01-13T15:02:34.929502+00:00,10.232.71.48,10.232.71.26,22,52348,0x0018,54,SSH_BRUTE_FORCE
2026-01-13T15:02:34.929627+00:00,10.232.71.26,10.232.71.48,52384,22,0x0018,74,SSH_BRUTE_FORCE
2026-01-13T15:02:34.929762+00:00,10.232.71.26,10.232.71.48,52350,22,0x0018,75,SSH_BRUTE_FORCE
2026-01-13T15:02:34.929891+00:00,10.232.71.48,10.232.71.26,22,52404,0x0018,55,SSH_BRUTE_FORCE
2026-01-13T15:02:34.930020+00:00,10.232.71.48,10.232.71.26,22,52420,0x0018,56,SSH_BRUTE_FORCE
2026-01-13T15:02:34.930157+00:00,10.232.71.26,10.232.71.48,52404,22,0x0010,76,SSH_BRUTE_FORCE
2026-01-13T15:02:34.930255+00:00,10.232.71.26,10.232.71.48,52420,22,0x0010,77,SSH_BRUTE_FORCE
2026-01-13T15:02:34.930349+00:00,10.232.71.26,10.232.71.48,52420,22,0x0018,78,SSH_BRUTE_FORCE
2026-01-13T15:02:34.930436+00:00,10.232.71.26,10.232.71.48,52348,22,0x0018,79,SSH_BRUTE_FORCE
2026-01-13T15:02:34.930514+00:00,10.232.71.48,10.232.71.26,22,52404,0x0018,57,SSH_BRUTE_FORCE
2026-01-13T15:02:34.930597+00:00,10.232.71.48,10.232.71.26,22,52464,0x0018,58,SSH_BRUTE_FORCE
2026-01-13T15:02:34.930804+00:00,10.232.71.26,10.232.71.48,52404,22,0x0018,80,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931029+00:00,10.232.71.26,10.232.71.48,52464,22,0x0010,81,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931261+00:00,10.232.71.48,10.232.71.26,22,52464,0x0018,59,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931415+00:00,10.232.71.48,10.232.71.26,22,52436,0x0018,60,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931504+00:00,10.232.71.26,10.232.71.48,52464,22,0x0018,82,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931591+00:00,10.232.71.26,10.232.71.48,52436,22,0x0010,83,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931675+00:00,10.232.71.26,10.232.71.48,52436,22,0x0018,84,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931760+00:00,10.232.71.48,10.232.71.26,22,52436,0x0010,61,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931844+00:00,10.232.71.48,10.232.71.26,22,52466,0x0018,62,SSH_BRUTE_FORCE
2026-01-13T15:02:34.931928+00:00,10.232.71.48,10.232.71.26,22,52346,0x0018,63,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932006+00:00,10.232.71.48,10.232.71.26,22,52420,0x0018,64,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932084+00:00,10.232.71.48,10.232.71.26,22,52436,0x0018,65,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932173+00:00,10.232.71.26,10.232.71.48,52466,22,0x0010,85,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932258+00:00,10.232.71.48,10.232.71.26,22,52466,0x0018,66,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932337+00:00,10.232.71.26,10.232.71.48,52466,22,0x0018,86,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932418+00:00,10.232.71.48,10.232.71.26,22,52466,0x0010,67,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932495+00:00,10.232.71.48,10.232.71.26,22,52446,0x0018,68,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932572+00:00,10.232.71.48,10.232.71.26,22,52348,0x0018,69,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932648+00:00,10.232.71.26,10.232.71.48,52346,22,0x0018,87,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932725+00:00,10.232.71.26,10.232.71.48,52436,22,0x0018,88,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932800+00:00,10.232.71.26,10.232.71.48,52446,22,0x0010,89,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932877+00:00,10.232.71.26,10.232.71.48,52466,22,0x0018,90,SSH_BRUTE_FORCE
2026-01-13T15:02:34.932953+00:00,10.232.71.48,10.232.71.26,22,52466,0x0010,70,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933030+00:00,10.232.71.48,10.232.71.26,22,52446,0x0018,71,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933126+00:00,10.232.71.26,10.232.71.48,52420,22,0x0018,91,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933218+00:00,10.232.71.26,10.232.71.48,52446,22,0x0018,92,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933307+00:00,10.232.71.48,10.232.71.26,22,52446,0x0010,72,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933393+00:00,10.232.71.48,10.232.71.26,22,52452,0x0018,73,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933475+00:00,10.232.71.26,10.232.71.48,52348,22,0x0018,93,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933558+00:00,10.232.71.48,10.232.71.26,22,52478,0x0018,74,SSH_BRUTE_FORCE
