timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,packet_count,label
2026-01-13T18:11:34.923246+00:00,10.232.71.26,10.232.71.48,40,64,1922,80,0,121,NORMAL
2026-01-13T18:11:34.923483+00:00,10.232.71.26,10.232.71.48,40,64,1923,80,0,122,NORMAL
2026-01-13T18:11:34.923689+00:00,10.232.71.26,10.232.71.48,40,64,1924,80,0,123,NORMAL
2026-01-13T18:11:34.923901+00:00,10.232.71.26,10.232.71.48,40,64,1925,80,0,124,NORMAL
2026-01-13T18:11:34.923963+00:00,10.232.71.26,10.232.71.48,40,64,1926,80,0,125,NORMAL
2026-01-13T18:11:34.924017+00:00,10.232.71.26,10.232.71.48,40,64,1927,80,0,126,NORMAL
2026-01-13T18:11:34.924068+00:00,10.232.71.26,10.232.71.48,40,64,1928,80,0,127,NORMAL
2026-01-13T18:11:34.924129+00:00,10.232.71.26,10.232.71.48,40,64,1929,80,0,128,NORMAL
2026-01-13T18:11:34.924186+00:00,10.232.71.26,10.232.71.48,40,64,1930,80,0,129,NORMAL
2026-01-13T18:11:34.924236+00:00,10.232.71.26,10.232.71.48,40,64,1931,80,0,130,NORMAL
2026-01-13T18:11:34.924298+00:00,10.232.71.26,10.232.71.48,40,64,1932,80,0,131,NORMAL
2026-01-13T18:11:34.924348+00:00,10.232.71.26,10.232.71.48,40,64,1933,80,0,132,NORMAL
2026-01-13T18:11:34.924398+00:00,10.232.71.26,10.232.71.48,40,64,1934,80,0,133,NORMAL
2026-01-13T18:11:34.924446+00:00,10.232.71.26,10.232.71.48,40,64,1935,80,0,134,NORMAL
2026-01-13T18:11:34.924495+00:00,10.232.71.26,10.232.71.48,40,64,1936,80,0,135,NORMAL
2026-01-13T18:11:34.924544+00:00,10.232.71.26,10.232.71.48,40,64,1937,80,0,136,NORMAL
2026-01-13T18:11:34.924592+00:00,10.232.71.26,10.232.71.48,40,64,1938,80,0,137,NORMAL
2026-01-13T18:11:34.924640+00:00,10.232.71.26,10.232.71.48,40,64,1939,80,0,138,NORMAL
2026-01-13T18:11:34.924689+00:00,10.232.71.26,10.232.71.48,40,64,1940,80,0,139,NORMAL
2026-01-13T18:11:34.924737+00:00,10.232.71.26,10.232.71.48,40,64,1941,80,0,140,NORMAL
2026-01-13T18:11:34.924807+00:00,10.232.71.26,10.232.71.48,40,64,1942,80,0,141,NORMAL
