timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,unique_port_count,label
2026-01-13T18:34:01.931202+00:00,,,,,43336,443,19169,7,NORMAL
2026-01-13T18:34:01.931246+00:00,,,,,43336,443,20499,7,NORMAL
2026-01-13T18:34:01.931289+00:00,,,,,43336,443,21829,7,NORMAL
2026-01-13T18:34:01.931331+00:00,,,,,43336,443,23159,7,NORMAL
2026-01-13T18:34:01.931373+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931417+00:00,,,,,43336,443,24489,7,NORMAL
2026-01-13T18:34:01.931459+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931502+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931545+00:00,,,,,43336,443,25819,7,NORMAL
2026-01-13T18:34:01.931588+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931641+00:00,,,,,43336,443,27149,7,NORMAL
2026-01-13T18:34:01.931685+00:00,,,,,43336,443,28479,7,NORMAL
2026-01-13T18:34:01.931727+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931771+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931812+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931855+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931897+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.931941+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.932336+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.932445+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.932508+00:00,,,,,443,43336,3456,7,NORMAL
2026-01-13T18:34:01.932556+00:00,,,,,443,43336,3521,7,NORMAL
2026-01-13T18:34:01.932607+00:00,,,,,443,43336,4019,7,NORMAL
2026-01-13T18:34:01.932655+00:00,,,,,43336,443,29372,7,NORMAL
2026-01-13T18:34:01.932702+00:00,,,,,43336,443,29372,7,NORMAL
2026-01-13T18:34:01.932747+00:00,,,,,43336,443,29372,7,NORMAL
2026-01-13T18:34:01.932794+00:00,,,,,43336,443,29372,7,NORMAL
2026-01-13T18:34:01.932842+00:00,,,,,443,43336,5349,7,NORMAL
2026-01-13T18:34:01.932889+00:00,,,,,43336,443,29372,7,NORMAL
2026-01-13T18:34:01.932937+00:00,,,,,43336,443,29372,7,NORMAL
2026-01-13T18:34:01.932985+00:00,,,,,43336,443,29407,7,NORMAL
2026-01-13T18:34:01.933033+00:00,,,,,43336,443,30737,7,NORMAL
2026-01-13T18:34:01.933078+00:00,,,,,43336,443,32067,7,NORMAL
2026-01-13T18:34:01.933131+00:00,,,,,43336,443,33397,7,NORMAL
2026-01-13T18:34:01.933185+00:00,,,,,43336,443,34727,7,NORMAL
2026-01-13T18:34:01.933233+00:00,,,,,43336,443,36057,7,NORMAL
2026-01-13T18:34:01.933280+00:00,,,,,443,43336,5959,7,NORMAL
2026-01-13T18:34:01.933328+00:00,,,,,443,43336,5959,7,NORMAL
2026-01-13T18:34:01.933384+00:00,,,,,443,43336,5959,7,NORMAL
2026-01-13T18:34:01.933433+00:00,,,,,443,43336,5959,7,NORMAL
2026-01-13T18:34:01.933481+00:00,,,,,443,43336,5959,7,NORMAL
2026-01-13T18:34:01.933529+00:00,,,,,443,43336,5959,7,NORMAL
2026-01-13T18:34:01.933578+00:00,,,,,443,43336,5959,5,NORMAL
2026-01-13T18:34:01.933626+00:00,,,,,443,43336,6795,5,NORMAL
2026-01-13T18:34:01.933675+00:00,,,,,43336,443,36704,5,NORMAL
2026-01-13T18:34:01.933723+00:00,,,,,443,43336,10785,5,NORMAL
2026-01-13T18:34:01.933768+00:00,,,,,443,43336,12577,5,NORMAL
2026-01-13T18:34:01.933819+00:00,,,,,43336,443,36704,5,NORMAL
2026-01-13T18:34:01.933872+00:00,,,,,43336,443,36704,5,NORMAL
2026-01-13T18:34:01.933921+00:00,,,,,443,43336,20557,5,NORMAL
2026-01-13T18:34:01.933970+00:00,,,,,43336,443,36704,5,NORMAL
2026-01-13T18:34:01.934020+00:00,,,,,443,43336,23217,5,NORMAL
2026-01-13T18:34:01.934068+00:00,,,,,443,43336,28983,5,NORMAL
2026-01-13T18:34:01.934121+00:00,,,,,43336,443,36704,5,NORMAL
